predicted,actual
46.76,6.10
53.3,4.40
37.65,9.20
48.51,7.20
56.35,4.60
57.37,4.30
60.32,3.60
48.77,7.20
39.98,3.40
39.98,4.30
53.87,4.10
47.31,4.90
63.2,5.20
39.34,6.40
55.09,7.50
44.46,8.40
40.29,7.60
46.1,4.50
45.62,7.40
56.8,8.40
55.15,10.10
58.47,7.60
47.68,11.10
63.33,8.40
44.05,7.40
43.96,8.50
45.4,8.40
39,10.50
39.76,8.50
34.42,4.40
40.74,7.60
39.37,5.60
42.93,7.60
42,6.40
42.4,7.50
53.3,7.60
43.2,8.60
53.98,7.40
51.75,6.70
35.67,7.40
32.05,7.60
41.08,8.30
39.76,6.90
43.22,6.90
51.55,6.50
31.96,8.40
39.12,5.40
47.56,6.50
